Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Niveau,Qualitaet_Byte
TT_TU_MN009,2014,201501150400.00,3.9,7,1
TT_TU_MN009,2014,201501150500.00,4.2,7,1
TT_TU_MN009,2014,201501150600.00,4.4,7,1
TT_TU_MN009,2014,201501150700.00,4.4,7,1
TT_TU_MN009,2014,201501150800.00,6.1,7,1
TT_TU_MN009,2014,201501150900.00,6.9,7,1
TT_TU_MN009,2014,201501151000.00,7.5,7,1
TT_TU_MN009,2014,201501151100.00,8.1,7,1
TT_TU_MN009,2014,201501151200.00,8.8,7,1
TT_TU_MN009,2014,201501151300.00,9.3,7,1
TT_TU_MN009,2014,201501151400.00,9.6,7,1
TT_TU_MN009,2014,201501151500.00,9.6,7,1
TT_TU_MN009,2014,201501151600.00,9.6,7,1
TT_TU_MN009,2014,201501151700.00,9.8,7,1
TT_TU_MN009,2014,201501151800.00,10,7,1
TT_TU_MN009,2014,201501151900.00,10.1,7,1
TT_TU_MN009,2014,201501152000.00,10.4,7,1
TT_TU_MN009,2014,201501152100.00,8.8,7,1
TT_TU_MN009,2014,201501152200.00,8.3,7,1
TT_TU_MN009,2014,201501152300.00,8.9,7,1
TT_TU_MN009,2014,201501160000.00,8.2,7,1
TT_TU_MN009,2014,201501160100.00,7.5,7,1
TT_TU_MN009,2014,201501160200.00,7,7,1
TT_TU_MN009,2014,201501160300.00,7.3,7,1
TT_TU_MN009,2014,201501160400.00,7,7,1
TT_TU_MN009,2014,201501160500.00,6.7,7,1
TT_TU_MN009,2014,201501160600.00,6.5,7,1
TT_TU_MN009,2014,201501160700.00,6.2,7,1
TT_TU_MN009,2014,201501160800.00,6.1,7,1
TT_TU_MN009,2014,201501160900.00,6.2,7,1
TT_TU_MN009,2014,201501161000.00,7.4,7,1
TT_TU_MN009,2014,201501161100.00,7.8,7,1
TT_TU_MN009,2014,201501161200.00,7.5,7,1
TT_TU_MN009,2014,201501161300.00,7.7,7,1
TT_TU_MN009,2014,201501161400.00,7.6,7,1
TT_TU_MN009,2014,201501161500.00,7,7,1
TT_TU_MN009,2014,201501161600.00,6.8,7,1
TT_TU_MN009,2014,201501161700.00,6.5,7,1
TT_TU_MN009,2014,201501161800.00,6.4,7,1
TT_TU_MN009,2014,201501161900.00,5.9,7,1
TT_TU_MN009,2014,201501162000.00,6,7,1
TT_TU_MN009,2014,201501162100.00,5.1,7,1
TT_TU_MN009,2014,201501162200.00,4.3,7,1
TT_TU_MN009,2014,201501162300.00,5.4,7,1
TT_TU_MN009,2014,201501170000.00,5.2,7,1
